date,price,volume,market_cap
2025-01-27,3232.2767744705584,13000445022.22209,390058879989.8578
2025-01-28,3173.5346079397173,41151086046.07612,382221069555.6103
2025-01-29,3076.4937692857234,19807794444.483303,370532757630.7433
2025-01-30,3114.4358854363104,22051422147.78046,375574817164.75665
2025-01-31,3248.249484352305,19504592311.356525,391509879851.78656
2025-02-01,3296.390634843652,31441846706.254246,396910231325.1062
2025-02-02,3125.0386801320924,18969060074.552986,376840076476.98303
2025-02-03,2862.6976188716285,38896518795.21238,344091054313.7205
2025-02-04,2877.8138239498767,96588727629.45805,346820394641.11206
2025-02-05,2740.3809762760143,52737830809.63367,329090090858.6241
2025-02-06,2790.5521609256075,30026391038.27177,335828291113.4543
2025-02-07,2686.662316793651,31349967107.97825,323756512126.7498
2025-02-08,2623.4507017824767,30948837988.08186,315636240722.9841
2025-02-09,2635.6011418023404,16335613332.591795,317758860998.56256
2025-02-10,2632.5358220552475,17155535243.908037,317369673472.60657
2025-02-11,2660.2967996436387,18843420567.42921,320711545303.1932
2025-02-12,2603.0333698049267,21212910085.211273,313943237177.0695
2025-02-13,2736.2703136032396,26503660438.845695,329492522913.44
2025-02-14,2675.7090007037627,18938191215.29619,322584072350.2765
2025-02-15,2724.6698335873957,17416785872.704834,328399065363.05505
2025-02-16,2692.8213863864253,8896321414.559013,324625278431.52954
2025-02-17,2659.9017474093457,8757895115.47748,320529173059.00665
2025-02-18,2741.9050800956124,24666373348.432693,330464530098.92377
2025-02-19,2669.4945006896073,24353300611.506603,321688672383.7524
2025-02-20,2714.8018364720533,13398586820.912325,327248168186.7616
2025-02-21,2741.5933625994785,14550027648.522171,330517520397.0965
2025-02-22,2658.3470942919384,31770375573.3895,320508273451.5576
2025-02-23,2764.355233404291,17576653979.14654,333381856893.82196
2025-02-24,2827.1844084879804,21394599890.269897,340712999974.1412
2025-02-25,2503.103420098605,31014455208.756138,301769340440.05
2025-02-26,2495.315451693047,42875934003.323944,301064649480.5458
2025-02-27,2325.853934699374,28109120496.698666,280668025121.2334
2025-02-28,2305.3229378029837,89259450649.58,277936135130.74036
2025-03-01,2235.204208608959,32905594283.00643,269516471615.1616
2025-03-02,2212.8243514969954,16103021679.018568,266823935338.2421
2025-03-03,2517.3382391622977,37907412347.33495,303306117779.7704
2025-03-04,2148.199533470228,33501080617.480988,259111889993.75626
2025-03-05,2171.496943535016,35524086282.76523,261805780842.5489
2025-03-06,2241.3841149187283,22236307931.758247,270490243838.00568
2025-03-07,2202.3207363495417,19895800679.328133,265270135615.0983
2025-03-08,2140.7498089428914,21716710066.08888,257899503839.8083
2025-03-09,2199.9995000805707,11257666715.795546,265129957012.69815
2025-03-10,2017.265460184326,17577023963.685375,243298514477.01385
2025-03-11,1879.1231054991026,36577317615.21765,226713493940.29108
2025-03-12,1921.3099227587034,30046602111.893852,232024934655.6445
2025-03-13,1910.6551381032464,24499314730.70381,230443739229.907
2025-03-14,1862.7949366490388,19212414462.181553,224658866951.8703
2025-03-15,1910.6662703455045,12949972214.265629,230476916425.01935
2025-03-16,1939.7856881721348,6944891086.050841,233970291611.3664
2025-03-17,1887.7643429692785,9486242392.181334,227688957214.28125
2025-03-18,1929.1833577618722,11251166846.249075,232725366276.39935
2025-03-19,1932.7964059050657,10887619567.393353,233152161415.72287
2025-03-20,2060.728601068271,20374739988.65224,248434080718.19073
2025-03-21,1980.831780524645,14303790085.616615,238984217654.16632
2025-03-22,1964.5293833168294,9890112887.282015,236980043535.89395
2025-03-23,1979.5449257665966,6195605844.536302,238753335160.5841
2025-03-24,2001.0470230951883,7991413702.677865,241404254258.0785
2025-03-25,2077.739325831977,15676451247.546822,250648654235.6259
2025-03-26,2068.598435049149,12563169733.005245,249404519198.06433
2025-03-27,2009.8835432902426,14024859854.906677,242347645799.6622
2025-03-28,2003.3034241292064,12136188059.422693,241580699763.4796
2025-03-29,1896.9173600459985,18419487648.39739,228784244898.24844
2025-03-30,1829.2745211803463,12924117064.878807,220262156018.88525
2025-03-31,1805.3378779435934,10056531345.160347,217784813538.97607
2025-04-01,1824.2071367609847,17022367813.88877,219908040559.44638
2025-04-02,1907.1671522994227,15899367803.5509,230031614721.63394
2025-04-03,1795.761850567479,23450470660.978283,216667567217.00522
2025-04-04,1818.2844199542053,16999031833.158594,219762279056.2319
2025-04-05,1814.4807753449506,19459233591.298603,218925876283.93597
2025-04-06,1809.935827172196,6780827627.545529,217957146409.9286
2025-04-07,1574.6321611455576,23485484227.161697,190295586491.21872
2025-04-08,1555.909812570873,49416724296.56089,188565143892.71408
2025-04-09,1471.3608854365523,22451028357.384758,177496121145.5316
2025-04-10,1662.5331604641576,41589589714.84994,200623016236.85327
2025-04-11,1523.928624242526,20486375929.10568,183947227079.42554
2025-04-12,1568.131690125936,14195085224.783228,189185664203.6754
